Ev34YHDkwb,Codeforces,http://www.codeforces.com,3
cSnJUJeBlr,Topcoder,https://www.topcoder.com,3
7HzVx1ouMN,Codechef,https://www.codechef.com,3
77gDVsoWap,HackerRank,https://www.hackerrank.com,3
Hcu7mg5jHE,Light OJ,http://www.lightoj.com,4
7BJd4VOa4N,POI,http://main.edu.pl,1
8jsenHRN1Q,USACO,http://usaco.org,3
jT4SoYlOB6,IOI,http://www.ioinformatics.org,3
zsOnqACApU,HackerEarth,https://www.hackerearth.com,3
ywFb3HxfN0,COCI,http://hsin.hr/coci,3
ZtKuGmztVq,SPOJ,http://www.spoj.com,3
6mksgEiylW,Yandex,https://contest.yandex.com/?lang=en,3
2PKKSMv6ap,Deadline 24,https://deadline24.pl,4
S65u8P8sAg,Google Hashcode,https://hashcode.withgoogle.com,3
lm1fOMbf6i,NEERC IFMO School,neerc.ifmo.ru/school,4
wIO6a1i048,Olympiads RU,http://olympiads.ru,4
kazeADBu66,Al Zimmermann's,http://azspcs.net,4
6vK9rg5XZn,CTF Time,https://ctftime.org,4
ORg0TDoZIi,DMOJ,https://dmoj.ca,4
gxy0F3w7Ql,Project Euler,https://projecteuler.net,4
gzBcOgx3lS,Open Cup,opencup.ru,4
09i9XqzUZA,CodeinGame,https://www.codingame.com/start,4
NB6b7q0Lo9,ITMO,neerc.ifmo.ru/trains,4
zsoV3y543B,Distance Learning,dl.gsu.by,4
CUBFE4HZ2X,ACM ICPC,https://icpc.baylor.edu,3
e4yHmYVteM,UVa OJ,https://uva.onlinejudge.org,4
VZgx6G0evl,Google Codejam,https://code.google.com/codejam,3
D0Sweh4Oyu,Facebook Hackercup,https://www.facebook.com/hackercup,3
kA6keb9aOv,Infoarena,http://www.infoarena.ro,4
MAwc4FFQQG,Timus OJ,http://acm.timus.ru,4